Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $315.32/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0xee6731ec52f1ec9d57d2ed0710609c57e31775ac19ef3c2ae3990a593dd6b469,28504253,1684972247,5/24/2023 23:50,0x2f0536916894fafdfb2eeeda6106d8f17dd742d5,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000273712,0.086306836,305.91,,,Approve
0x7e77d2a85b9852930fe3a0d41c30111b1e471cea1859810d48acc3b9f6ff902e,28504315,1684972433,5/24/2023 23:53,0xac9987b5f08d86ac919f2e27e7e66cb26b5871dd,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,305.91,,,Approve
0x90c93226ae2f2cdbacb0f97b24ad76a5e26b47c3e46a401687b1953b9b5970f3,28504321,1684972451,5/24/2023 23:54,0x74905509cd0adbf632755a190b1b1414dcbc711f,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,305.91,,,Approve
0x906fa7b7161e4ea9ce6d07170706629cd62ec6b6c3f57896654d91a2f5b36fba,28504360,1684972568,5/24/2023 23:56,0xfd78b7303601237414d8056bd669eed8c8160c48,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,305.91,,,Approve
0xc992e75d1d77a373c742a1e22f509d8df985d43e9c7cf937cd74984f9512770a,28504367,1684972589,5/24/2023 23:56,0x8446c2f4a3bf66624a0aa4b5e46a6297f653efe9,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000200277,0.063151344,305.91,,,Approve
0xb9bc58b27d1ada67b2ac782f7b00f783481347344778a948949ffd3737de29fb,28504374,1684972610,5/24/2023 23:56,0x8446c2f4a3bf66624a0aa4b5e46a6297f653efe9,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000200277,0.063151344,305.91,,,Approve
0xa2633b85c15903669499801a1cadf2f324be7d8f1d964984bbdc106c5efece21,28504386,1684972646,5/24/2023 23:57,0xfaa0a6deb3d5053052ded449f19e1b197b93f43d,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00022133,0.069789776,305.91,,,Approve
0x8ebb6cbba632aeced9b086e0991c9e4433aa957884dd4eba470f3ff580ff66e1,28504387,1684972649,5/24/2023 23:57,0x8446c2f4a3bf66624a0aa4b5e46a6297f653efe9,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00132618,0.418171078,305.91,,,Approve
0xf067448ce3934d30fae9b6e811189035d7bd800778a5d929ac84b396f61ee1cb,28504387,1684972649,5/24/2023 23:57,0xc3cb2f2e4456f765f992df80bce921a340ca7e29,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,305.91,,,Approve
0x79ab7cb3a4104135cb17147aadc5471460f205c77cf384229d92d36e96bf3cb7,28504467,1684972889,5/25/2023 0:01,0x674c75f4da4962864d769a86e2d074efe33f408e,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00088412,0.278780718,304.79,,,Approve
0x5cea9af0405bac70e78a0ef0756082712840463bd43c96402443be35b3dd6e4e,28504480,1684972928,5/25/2023 0:02,0x392345385a5f5a2efd6bb276422eb72f6c9d1b52,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00044506,0.140336319,304.79,,,Approve
0xfea9cf8d6043ca36dc58e27498ff08ae4f56e73faf45417e0db2dfd314f028e1,28504517,1684973039,5/25/2023 0:03,0xf7eb42f07f06c389872cf9569328cbde435d21ff,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,304.79,,,Approve
0x687f6c3f3464702d16e35ca96f04bea90eef7de2c4fd1c6dffd13c0ba13252f1,28504543,1684973117,5/25/2023 0:05,0x9b3578551b10d69aa3e0b346413169c9bee68449,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,304.79,,,Approve
0xf2fcfb644e643cdf711e9ff0ca1abaa9581da17ec0bd6ba3223e5b67d8cf3b7f,28504595,1684973273,5/25/2023 0:07,0xa5a85f9972386789c5326fb796678c707bb692f8,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000265236,0.083634216,304.79,,,Approve
0xf624d88b0b59593fc1ec752fe1bf800aefa3a5372fb428f0ae18396bcc514ce1,28504609,1684973315,5/25/2023 0:08,0x9179e2110965ac8d2cb4e913515f0e42343d297a,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000074766,0.023575215,304.79,,,Approve
0x3491c79ce864a01bab52265b89feeaae40aeed29d7fccc8cff146a2fdbc8f222,28504614,1684973330,5/25/2023 0:08,0xb92a59fdc20ec1b6570e7452337889846a0ce2c2,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.011171006,3.522441612,304.79,,,Approve
0x96d5be26b9fef1c09ea5d7d050c4899b58d1aa09c46b5dcdecbd6f172d158f97,28504634,1684973390,5/25/2023 0:09,0x9179e2110965ac8d2cb4e913515f0e42343d297a,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000074766,0.023575215,304.79,,,Approve
0x4b1b3260ebf99c26a6a06b558ad55790fd507831d6d509d39a529a01b75704ee,28504687,1684973549,5/25/2023 0:12,0x18054303c436f65929a23e81d3d4f012f1a6e71c,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,304.79,,,Approve
0x2a316f9e78084a607c2747cfd579e2c1a42236e6b875949f4e3ec8957a64001e,28504761,1684973771,5/25/2023 0:16,0xced7643bdb7ba6a3cc33520b2d8089ca66446ca7,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.0022253,0.701681596,304.79,,,Approve
0x57e50e605f26e4d85638da226bc738495da71f986940046191a2fcb7dd3310c7,28504764,1684973780,5/25/2023 0:16,0xa9f624d922e8d64bcdc484a6d0ab1cea9e9c5d29,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.0089012,2.806726384,304.79,,,Approve
0x708fcc44d016d7b3bc98b3b10d53800f36652fd6ea1d3d3ce329ee1cba8a7eb2,28504850,1684974038,5/25/2023 0:20,0x93909f19a0176fe9ee516de033c47aa0e93c67d4,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,304.79,,,Approve
0x720fbc9db64902892771ea341b86d18fd206bb134af4a423135dee3be9ac050f,28504885,1684974143,5/25/2023 0:22,0x3e954e635d862c1afd5d1b28785dd7a43941d35d,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00022109,0.069714099,304.79,,,Approve
0x71e14ad0457dd2d77711ae06ced41cbded0fcc156a3e4cc3a424d83d193db5a1,28504908,1684974212,5/25/2023 0:23,0xfd78b7303601237414d8056bd669eed8c8160c48,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,304.79,,,Approve
0x6cce69d398b12116e9ffd5c47f9bac4d06b4cfcf911bce27a8c78dc55111045f,28504925,1684974263,5/25/2023 0:24,0x46af2a4d3b887e145d5042afe7488bf6c5b8c015,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00022253,0.07016816,304.79,,,Approve
0x33b6be472b3e26874ed6eb3d45ec73ca75ed08b243a9dfb09baef772e2151f05,28504925,1684974263,5/25/2023 0:24,0x579f26b42a02ca6c16453e91c95491ffb42b2cc4,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00022253,0.07016816,304.79,,,Approve
0xd492838371838c345055f305e72773e7a8e1170a26aa9fb477743791ae30fb7b,28504925,1684974263,5/25/2023 0:24,0x432c7e586a08f70b84692678f7e988139fc1993b,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00022253,0.07016816,304.79,,,Approve
0x47389521fafb89f7278bfad62f1a148e8618a9714843fc2e664d21c6a6f99a53,28504925,1684974263,5/25/2023 0:24,0xa8e50191fec710487415de58924c749638c5dcb4,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00022253,0.07016816,304.79,,,Approve
0xa36b4cfbaf682386127c894f976e73ccfba816b3852f5cdc1c314fc147b1a388,28504935,1684974293,5/25/2023 0:24,0x2bce9be6ad12fb1a980066b89d4408568b53af61,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,304.79,,,Approve
0xc9dcaf3e98c40cafd2e97ca67e9e446043638b924a42648cb2031ced5fb7e508,28504948,1684974332,5/25/2023 0:25,0x4efbad057cb352b3d3e35415728d652ac31eab1f,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,304.79,,,Approve
0xf256ac7d90a375fcd51131530228bef092cbe43f6c43c7485ec341e464bd0d26,28504957,1684974359,5/25/2023 0:25,0xef7cf1e51d51b1215cbf684b2553288967ac8974,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,304.79,,,Approve
0xb4e9d9c37b95b6dc008376408079aa1f8032d53e2643df2d019d4e80ec528748,28504958,1684974362,5/25/2023 0:26,0x3e6c0467ae217069dab6c069a4e0136ea6567780,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00044506,0.140336319,304.79,,,Approve
0xa6f0dc254df768cc2491ecaf1c8d9c2d48462374d30987e667a92e2ccee9b391,28504958,1684974362,5/25/2023 0:26,0x4af378be336c30b5f7e7482b501a50b13ec41888,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00044506,0.140336319,304.79,,,Approve
0x99720912fa8fb91f5df9a113f2ad501ee57d5fb85e2fd18eb5cd771bfbd6e868,28504958,1684974362,5/25/2023 0:26,0x6ac7f187a3d6ff38356c8a23418a143a45c5a130,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00044506,0.140336319,304.79,,,Approve
